Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
JC275871,5/22/2019 23:55,088XX S MAY ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2222,22,21,71,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274561,5/22/2019 23:53,010XX N WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1212,12,2,24,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274568,5/22/2019 23:51,079XX S DOBSON AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,TRUE,624,6,8,44,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274578,5/22/2019 23:41,053XX W CHICAGO AVE,554,ASSAULT,AGG PO HANDS NO/MIN INJURY,GAS STATION,TRUE,FALSE,1524,15,37,25,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274543,5/22/2019 23:41,024XX W LUNT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,TRUE,2411,24,50,2,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274555,5/22/2019 23:41,015XX S CHRISTIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,FALSE,FALSE,1021,10,24,29,04B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274549,5/22/2019 23:40,047XX S HOYNE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,931,9,15,61,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274534,5/22/2019 23:40,070XX S HALSTED ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,FALSE,FALSE,732,7,6,68,04A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274542,5/22/2019 23:40,036XX W 60TH ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,823,8,23,65,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274548,5/22/2019 23:39,011XX W EDDY ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,FALSE,FALSE,1924,19,44,6,11,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274566,5/22/2019 23:35,072XX S EAST END AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,324,3,7,43,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274539,5/22/2019 23:35,007XX W 83RD ST,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,TRUE,FALSE,622,6,21,71,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274537,5/22/2019 23:30,068XX S MERRILL AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,331,3,5,43,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274541,5/22/2019 23:30,065XX S DR MARTIN LUTHER KING JR DR,485,BATTERY,AGGRAVATED OF A CHILD,APARTMENT,FALSE,TRUE,312,3,20,69,04B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274922,5/22/2019 23:30,005XX S LOTUS AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1522,15,29,25,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274671,5/22/2019 23:30,056XX S DR MARTIN LUTHER KING JR DR,261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,ALLEY,FALSE,FALSE,231,2,20,40,2,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274558,5/22/2019 23:30,041XX W 21ST PL,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1012,10,24,29,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274559,5/22/2019 23:30,121XX S RACINE AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,FALSE,524,5,34,53,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274526,5/22/2019 23:30,020XX S MORGAN ST,031A,ROBBERY,ARMED: HANDGUN,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1235,12,25,31,3,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275319,5/22/2019 23:30,112XX S AVENUE M,810,THEFT,OVER $500,ALLEY,FALSE,FALSE,433,4,10,52,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274551,5/22/2019 23:30,026XX S TROY ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1033,10,12,30,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274533,5/22/2019 23:30,019XX S MORGAN ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1235,12,25,31,3,,,2019,5/29/2019 16:22,,,,,,,,,,,
